Name,State/Region,Quantity (g),Calories (kcal),Protein (g),Carbs (g),Fat (g),Veg/Non-Veg,Meal Type,Ingredients
Pesarattu,Andhra Pradesh,1 piece (100g),150,6,25,4,Vegetarian,Breakfast,"Green moong dal, rice, ginger, green chilies, oil"
Gobi Paratha + Dahi + Achaar,Delhi,2 parathas + 1 small bowl + 1 tbsp,425,13,54,17,Veg,Breakfast,"Wheat flour, cauliflower, onions, green chilies, yogurt, pickle"
Mooli Paratha + Dahi + Pickle,Delhi,2 parathas + 1 small bowl + 1 tbsp,415,12,52,16,Veg,Breakfast,"Wheat flour, radish, green chilies, coriander, ghee, yogurt, pickle"
Paneer Paratha + Dahi + Pickle,Delhi,2 parathas + 1 small bowl + 1 tbsp,475,17,50,22,Veg,Breakfast,"Wheat flour, paneer, onions, green chilies, coriander, ghee, yogurt, pickle"
Keema Paratha + Dahi + Pickle,Delhi,2 parathas + 1 small bowl + 1 tbsp,565,25,48,28,Non-Veg,Breakfast,"Wheat flour, minced mutton, onions, green chilies, spices, ghee, yogurt, pickle"
Thepla + Curd + Pickle ,Gujarat,3 theplas + 1 bowl curd + 1 tsp pickle,465,16.8,68.2,14.6,Veg,Breakfast,"Wheat flour, fenugreek leaves, yogurt, pickle, tea"
Methi Thepla + Buttermilk + Pickle,Gujarat,3 theplas + 1 glass buttermilk + 1 tsp pickle,405,14.6,62.8,10.4,Veg,Breakfast,"Wheat flour, fenugreek, buttermilk, pickle"
Daliya + Ghee + Jaggery + Milk,Haryana,1 medium bowl + 1 tsp + 1 piece + 1 glass,385,14,65,8,Veg,Breakfast,"Broken wheat, ghee, jaggery, milk, cardamom"
Rava Idli,Karnataka,2 pieces (100g),70,3,15,1,Vegetarian,Breakfast,"Semolina, yogurt, curry leaves, mustard seeds"
Appam with Stew,Kerala,1 piece (40g),80,2,18,1,Vegetarian,Breakfast,"Rice flour, coconut milk, yeast, vegetables (potato, carrot), coconut oil"
Idiyappam,Kerala,1 plate (100g),110,3,24,1,Vegetarian,Breakfast,"Rice flour, water, salt, grated coconut"
Idiyappam,Kerala,1 plate (100g),110,3,24,1,Vegetarian,Breakfast,"Rice flour, water, salt, grated coconut"
Puttu & Kadala Curry,Kerala,2 pieces (150g),225,7,45,4,Vegetarian,Breakfast,"Rice flour, grated coconut, black chickpeas, coconut milk, spices"
Sabudana Khichdi,Maharashtra,200g (1 bowl),250,2,60,5,Veg,Breakfast,"Tapioca pearls, peanuts"
Misal Pav,Maharashtra,1 bowl misal + 2 pav ,450,20,60,15,Vegetarian,Breakfast,"Sprouted moth beans (200g), pav (150g)"
Paranthas Mixed + Dahi + Pickle,Punjab,2 parathas + 1 small bowl + 1 tbsp,430,12,52,18,Veg,Breakfast,"Wheat flour, mixed vegetables, spices, ghee, yogurt, pickle"
Methi Paratha + Dahi + Achaar,Rajasthan,2 parathas + 1 small bowl + 1 tbsp,405,15,52,16,Veg,Breakfast,"Wheat flour, fenugreek leaves, onions, green chilies, yogurt, pickle"
Makki ki Roti + Sarson Saag + Ghee,Rajasthan,3 rotis + 1 medium bowl + 1 tbsp,445,14,58,16,Veg,Breakfast,"Corn flour, mustard greens, spinach, garlic, ginger, ghee"
Poha + Sev ,Rajasthan,1 medium plate + 1 small portion,285,6,48,8,Veg,Breakfast,"Flattened rice, onions, mustard seeds, curry leaves, sev, namkeen"
Idli + Coconut Chutney,Tamil Nadu,4 pieces + 50g,280,10,50,5,Vegetarian,Breakfast,"Steamed rice cakes, coconut, lentils"
