Name,State/Region,Quantity,Calories (kcal),Protein (g),Carbs (g),Fat (g),Veg/Non-Veg,Meal Type,Ingredients
Puttu & Kadala Curry,Kerala,2 pieces (150g),225,7,45,4,Vegetarian,Breakfast,"Rice flour, grated coconut, black chickpeas, coconut milk, spices"
Appam with Stew,Kerala,1 piece (40g),80,2,18,1,Vegetarian,Breakfast,"Rice flour, coconut milk, yeast, vegetables (potato, carrot), coconut oil"
Idiyappam,Kerala,1 plate (100g),110,3,24,1,Vegetarian,Breakfast,"Rice flour, water, salt, grated coconut"
Sambar,Kerala,1 bowl (150ml),110,5,18,3,Vegetarian,Lunch/Dinner,"Toor dal, tamarind, vegetables, mustard seeds, curry leaves, sambar powder"
Avial,Kerala,1 cup (100g),100,2,18,3,Vegetarian,Lunch/Dinner,"Mixed vegetables (yam, carrot, beans), coconut, yogurt, curry leaves"
Meen Curry,Kerala,1 fish (100g),180,16,5,10,Non-Veg,Lunch/Dinner,"Mackerel/sardines, tamarind, coconut oil, red chili powder, curry leaves"
Chicken Stew,Kerala,1 cup (150g),210,17,10,12,Non-Veg,Lunch/Dinner,"Chicken, coconut milk, potatoes, carrots, spices (cinnamon, cloves), curry leaves"
Beef Ularthiyathu,Kerala,1 cup (100g),250,22,6,15,Non-Veg,Lunch/Dinner,"Beef, coconut slices, black pepper, curry leaves, coconut oil"
Kappa (Tapioca),Kerala,1 bowl (100g),120,1,28,0.5,Vegetarian,Lunch/Dinner,"Tapioca, salt, green chilies, coconut oil"
Karimeen Pollichathu,Kerala,1 fish (100g),200,20,5,12,Non-Veg,Lunch/Dinner,"Pearl spot fish, banana leaf, spices (chili, turmeric), coconut oil"
Parippu Curry,Kerala,1 cup (150g),180,8,20,6,Vegetarian,Lunch/Dinner,"Moong dal, coconut milk, turmeric, mustard seeds, curry leaves"
Banana Fritters,Kerala,2 pieces (50g),130,1,20,5,Vegetarian,Snack,"Ripe bananas, flour, sugar, coconut oil"
Palada Payasam,Kerala,1 cup (150ml),300,6,50,8,Vegetarian,Dessert,"Rice flakes, milk, sugar, ghee, cashews, cardamom"
Uzhunnu Vada,Kerala,1 piece (30g),90,3,10,4,Vegetarian,Snack,"Urad dal, black pepper, ginger, curry leaves, oil"
Mutton Stew,Kerala,150g,210,17,10,12,Non-Veg,Lunch/Dinner,"Mutton, coconut milk, potatoes, carrots, spices (cinnamon, cloves), curry leaves"
Idli,Tamil Nadu,2 pieces (100g),140,4,28,1,Vegetarian,Breakfast,"Rice, urad dal, water, salt"
Dosa,Tamil Nadu,1 piece (100g),160,4,30,4,Vegetarian,Breakfast,"Rice, urad dal, fenugreek, oil"
Sambar,Tamil Nadu,1 bowl (150ml),110,5,18,3,Vegetarian,Lunch/Dinner,"Toor dal, tamarind, vegetables, mustard seeds, curry leaves, sambar powder"
Rasam,Tamil Nadu,1 bowl (150ml),50,1,10,1,Vegetarian,Lunch/Dinner,"Tamarind, tomato, pepper, cumin, mustard seeds, curry leaves"
Medu Vada,Tamil Nadu,1 piece (50g),150,5,20,7,Vegetarian,Breakfast/Snack,"Urad dal, black pepper, ginger, curry leaves, oil"
Pongal,Tamil Nadu,1 bowl (150g),180,6,35,5,Vegetarian,Breakfast,"Rice, moong dal, black pepper, ginger, cumin, ghee"
Upma,Tamil Nadu,1 bowl (150g),180,5,30,5,Vegetarian,Breakfast,"Semolina, mustard seeds, curry leaves, green chili, ginger"
Curd Rice,Tamil Nadu,1 bowl (200g),150,5,25,3,Vegetarian,Lunch/Dinner,"Cooked rice, yogurt, mustard seeds, curry leaves, ginger"
Chicken Chettinad,Tamil Nadu,1 cup (150g),250,25,8,12,Non-Veg,Lunch/Dinner,"Chicken, coconut, red chili, fennel, cinnamon, cloves, pepper"
Kuzhambu,Tamil Nadu,1 bowl (150ml),100,3,15,4,Vegetarian,Lunch/Dinner,"Tamarind, vegetables, mustard seeds, curry leaves, spices"
Paniyaram,Tamil Nadu,5 pieces (100g),140,4,22,4,Vegetarian,Snack,"Rice, urad dal, mustard seeds, curry leaves, oil"
Masala Dosa,Tamil Nadu,1 piece (150g),200,6,40,6,Vegetarian,Breakfast,"Rice, urad dal, potatoes, mustard seeds, curry leaves, oil"
Kootu,Tamil Nadu,1 bowl (150g),120,4,18,4,Vegetarian,Lunch/Dinner,"Vegetables, moong dal, coconut, mustard seeds, curry leaves"
Paruppu Usili,Tamil Nadu,1 cup (100g),130,6,15,5,Vegetarian,Lunch/Dinner,"Lentils, beans, mustard seeds, curry leaves, coconut oil"
Murukku,Tamil Nadu,10 pieces (50g),160,2,20,8,Vegetarian,Snack,
Bisi Bele Bhat,Karnataka,1 bowl (150g),199,6,35,5,Vegetarian,Lunch,"Rice, toor dal, vegetables, tamarind, coconut, spices"
